,序号,标题,链接,导演,评分,评价人数,简介
38,39,让子弹飞,https://movie.douban.com/subject/3742360/,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,9.0,1783465人评价,你给我翻译翻译，神马叫做TMD的惊喜。
39,40,何以为家,https://movie.douban.com/subject/30170448/,导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ...,9.1,1093118人评价,凝视卑弱生命，用电影改变命运。
40,41,摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...,9.0,1634627人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
41,42,猫鼠游戏,https://movie.douban.com/subject/1305487/,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...,9.1,1094919人评价,骗子大师和执著警探的你追我跑故事。
42,43,海蒂和爷爷,https://movie.douban.com/subject/25958717/,导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen /...,9.3,676275人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
43,44,天空之城,https://movie.douban.com/subject/1291583/,导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,9.2,931729人评价,对天空的追逐，永不停止。
44,45,鬼子来了,https://movie.douban.com/subject/1291858/,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,9.3,659851人评价,对敌人的仁慈，就是对自己残忍。
45,46,少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,9.1,1403387人评价,瑰丽壮观、无人能及的冒险之旅。
46,47,钢琴家,https://movie.douban.com/subject/1296736/,导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...,9.3,683565人评价,音乐能化解仇恨。
47,48,指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,9.2,793183人评价,承前启后的史诗篇章。
48,49,大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,9.0,1273508人评价,旷古烁今。
49,50,闻香识女人,https://movie.douban.com/subject/1298624/,导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...,9.1,938646人评价,史上最美的探戈。
50,51,死亡诗社,https://movie.douban.com/subject/1291548/,导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,9.2,782078人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
51,52,绿皮书,https://movie.douban.com/subject/27060077/,导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen /...,8.9,1739365人评价,去除成见，需要勇气。
52,53,大闹天宫,https://movie.douban.com/subject/1418019/,导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,9.4,465201人评价,经典之作，历久弥新。
53,54,罗马假日,https://movie.douban.com/subject/1293839/,导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...,9.1,987304人评价,爱情哪怕只有一天。
54,55,黑客帝国,https://movie.douban.com/subject/1291843/,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,9.1,878157人评价,视觉革命。
55,56,指环王1：护戒使者,https://movie.douban.com/subject/1291571/,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,9.1,890192人评价,传说的开始。
56,57,天堂电影院,https://movie.douban.com/subject/1291828/,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...,9.2,702917人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
57,58,教父2,https://movie.douban.com/subject/1299131/,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,9.3,584825人评价,优雅的孤独。
58,59,狮子王,https://movie.douban.com/subject/1301753/,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...,9.1,889545人评价,动物版《哈姆雷特》。
59,60,辩护人,https://movie.douban.com/subject/21937445/,导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,9.2,617969人评价,电影的现实意义大过电影本身。
60,61,饮食男女,https://movie.douban.com/subject/1291818/,导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,9.2,657075人评价,人生不能像做菜，把所有的料都准备好了才下锅。
61,62,搏击俱乐部,https://movie.douban.com/subject/1292000/,导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...,9.0,891845人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
62,63,本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...,9.0,1031656人评价,在时间之河里感受溺水之苦。
63,64,美丽心灵,https://movie.douban.com/subject/1306029/,导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...,9.1,803738人评价,爱是一切逻辑和原由。
64,65,穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,导演: 马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...,9.2,596999人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
65,66,窃听风暴,https://movie.douban.com/subject/1900841/,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,9.2,591797人评价,别样人生。
66,67,情书,https://movie.douban.com/subject/1292220/,导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,8.9,1181307人评价,暗恋的极致。
67,68,两杆大烟枪,https://movie.douban.com/subject/1293350/,导演: 盖·里奇 Guy Ritchie   主演: 杰森·弗莱明 Jason Flemyng / 德克斯特...,9.1,625751人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
68,69,西西里的美丽传说,https://movie.douban.com/subject/1292402/,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...,8.9,1023077人评价,美丽无罪。
